,CarbonDioxideEmissions,NitrousOxideEmissions,TotalGHGEmissions,MethaneEmissions,EmissionID,CountryID,Name
168,,,,,169,169,Sint Maarten (Dutch part)
169,733.0,,,,170,170,Slovak Republic
170,,,,,171,171,Slovenia
171,,,,,172,172,Solomon Islands
172,202.0,,,,173,173,Somalia
173,609.0,,,,174,174,South Africa
174,,,,,175,175,South Sudan
175,,,,,176,176,Spain
176,,,,,177,177,Sri Lanka
177,,15.0,,30.0,178,178,St. Kitts and Nevis
178,231.0,35.0,598.8,44.0,179,179,St. Lucia
179,407.0,,,,180,180,St. Martin (French part)
180,,18.0,319.2,40.0,181,181,St. Vincent and the Grenadines
181,209.0,,,,182,182,Sudan
182,,273.0,,709.0,183,183,Suriname
183,,569.0,,,184,184,Eswatini
184,,,,,185,185,Sweden
185,,,,,186,186,Switzerland
186,,,,,187,187,Syrian Arab Republic
187,,,,,188,188,Tajikistan
188,,,,,189,189,Tanzania
189,,,,,190,190,Thailand
190,469.0,226.0,959.3,732.0,191,191,Timor-Leste
191,,,,,192,192,Togo
192,121.0,22.0,155.3,61.0,193,193,Tonga
193,,281.0,,,194,194,Trinidad and Tobago
194,,,,,195,195,Tunisia
195,,,,,196,196,Turkey
196,,,,,197,197,Turkmenistan
197,205.0,1.0,,6.0,198,198,Turks and Caicos Islands
198,11.0,1.0,5.2,3.0,199,199,Tuvalu
199,,,,,200,200,Uganda
200,,,,,201,201,Ukraine
201,,,,,202,202,United Arab Emirates
202,,,,,203,203,United Kingdom
203,,,,,204,204,United States
204,,,,,205,205,Uruguay
205,,,,,206,206,Uzbekistan
206,154.0,109.0,446.2,254.0,207,207,Vanuatu
207,,,,,208,208,"Venezuela, RB"
208,,,,,209,209,Vietnam
209,,13.0,61.5,47.0,210,210,Virgin Islands (U.S.)
210,,,,,211,211,West Bank and Gaza
211,,,,,212,212,"Yemen, Rep."
212,,,,,213,213,Zambia
213,,,,,214,214,Zimbabwe
