,DeathID,HealthRiskFactorID,Injuries,NonCommunicableDiseases,CommunicableDiseases
188,189,189,11.0,33.0,56.0
189,190,190,10.0,74.0,16.0
190,191,191,9.0,45.0,46.0
191,192,192,11.0,38.0,52.0
192,193,193,6.0,83.0,12.0
193,194,194,10.0,81.0,9.0
194,195,195,6.0,86.0,8.0
195,196,196,6.0,89.0,4.0
196,197,197,7.0,76.0,17.0
197,198,198,,,
198,199,199,,,
199,200,200,13.0,33.0,55.0
200,201,201,5.0,91.0,4.0
201,202,202,17.0,77.0,7.0
202,203,203,4.0,89.0,8.0
203,204,204,7.0,88.0,5.0
204,205,205,8.0,85.0,8.0
205,206,206,6.0,84.0,10.0
206,207,207,7.0,74.0,19.0
207,208,208,19.0,70.0,11.0
208,209,209,11.0,77.0,12.0
209,210,210,,,
210,211,211,,,
211,212,212,15.0,57.0,29.0
212,213,213,10.0,29.0,61.0
213,214,214,12.0,33.0,55.0
