,HealthRiskFactorID,CountryID,HealthSystemID,MaleTobaccoUse,FemaleTobaccoUse,IncidenceOfTuberculosis,PrevalenceOfDiabetes
143,144,143,144,,,95.0,
144,145,144,145,21.0,20.0,4.0,5.3
145,146,145,146,16.0,1.0,6.0,10.1
146,147,146,147,37.0,3.0,265.0,19.9
147,148,147,148,23.0,8.0,109.0,17.9
148,149,148,149,10.0,2.0,52.0,7.7
149,150,149,150,49.0,24.0,432.0,17.9
150,151,150,151,22.0,5.0,43.0,9.6
151,152,151,152,,5.0,123.0,6.6
152,153,152,153,41.0,8.0,554.0,7.1
153,154,153,154,33.0,23.0,16.0,6.1
154,155,154,155,30.0,16.0,24.0,9.8
155,156,155,156,,,1.0,13.7
156,157,156,157,27.0,1.0,31.0,15.6
157,158,157,158,37.0,23.0,68.0,6.9
158,159,158,159,58.0,23.0,54.0,6.1
159,160,159,160,21.0,5.0,59.0,5.1
160,161,160,161,38.0,17.0,6.0,9.2
161,162,161,162,,,0.0,5.9
162,163,162,163,,,124.0,2.4
163,164,163,164,25.0,2.0,10.0,15.8
164,165,164,165,17.0,0.0,118.0,2.4
165,166,165,166,40.0,38.0,17.0,9.0
166,167,166,167,36.0,7.0,18.0,12.3
167,168,167,168,41.0,9.0,298.0,2.4
168,169,168,169,28.0,5.0,47.0,5.5
169,170,169,170,,,19.0,6.8
170,171,170,171,38.0,23.0,6.0,6.5
171,172,171,172,25.0,20.0,5.0,5.9
172,173,172,173,,,74.0,19.0
173,174,173,174,,,262.0,5.1
174,175,174,175,33.0,8.0,520.0,12.7
175,176,175,176,,,146.0,10.2
176,177,176,177,31.0,27.0,9.0,6.9
177,178,177,178,27.0,0.0,64.0,10.7
178,179,178,179,,,0.0,13.3
179,180,179,180,,,3.0,11.6
180,181,180,181,,,,
181,182,181,182,,,6.0,11.6
182,183,182,183,,,71.0,22.1
183,184,183,184,43.0,7.0,38.0,12.5
184,185,185,185,19.0,19.0,6.0,4.8
185,186,186,186,29.0,23.0,6.0,5.7
186,187,187,187,,,19.0,13.5
187,188,188,188,,,84.0,6.1
188,189,189,189,27.0,3.0,253.0,5.7
189,190,190,190,39.0,2.0,153.0,7.0
190,191,191,191,78.0,6.0,498.0,6.7
191,192,192,192,14.0,1.0,36.0,2.4
192,193,193,193,44.0,12.0,10.0,15.7
193,194,194,194,,,21.0,11.0
194,195,195,195,66.0,1.0,35.0,8.5
195,196,196,196,41.0,14.0,16.0,11.1
196,197,197,197,,,46.0,6.1
197,198,198,198,,,6.0,
198,199,199,199,,,270.0,22.1
199,200,200,200,17.0,3.0,200.0,2.5
200,201,201,201,47.0,14.0,80.0,6.1
201,202,202,202,37.0,1.0,1.0,16.3
202,203,203,203,25.0,20.0,8.0,3.9
203,204,204,204,25.0,19.0,3.0,10.8
204,205,205,205,20.0,14.0,33.0,7.3
205,206,206,206,25.0,1.0,70.0,6.5
206,207,207,207,35.0,3.0,46.0,11.9
207,208,208,208,,,48.0,7.0
208,209,209,209,46.0,1.0,182.0,6.0
209,210,210,210,,,,12.3
210,211,211,211,,,1.0,9.5
211,212,212,212,29.0,8.0,48.0,5.4
212,213,213,213,25.0,3.0,346.0,4.5
213,214,214,214,31.0,2.0,210.0,1.8
